fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
1_1_1,50,,sqrt,,,0.75,0.75,0.8576704545454545,1.0,1.0,1.0
1_1_2,50,,sqrt,,,0.4375,0.40669642857142857,0.7161931818181819,1.0,1.0,1.0
1_1_3,50,,sqrt,,,0.6875,0.6729166666666666,0.812215909090909,1.0,1.0,1.0
1_1_4,50,,sqrt,,,0.8125,0.8121527777777778,0.9051136363636363,1.0,1.0,1.0
1_1_5,50,,sqrt,,,0.6875,0.6897321428571428,0.8801136363636365,1.0,1.0,1.0
1_2_1,100,,sqrt,,,0.8125,0.8121527777777778,0.8721590909090909,1.0,1.0,1.0
1_2_2,100,,sqrt,,,0.5625,0.5517676767676767,0.7369318181818182,1.0,1.0,1.0
1_2_3,100,,sqrt,,,0.625,0.63125,0.7835227272727273,1.0,1.0,1.0
1_2_4,100,,sqrt,,,0.75,0.7550505050505051,0.927840909090909,1.0,1.0,1.0
1_2_5,100,,sqrt,,,0.625,0.6168831168831168,0.8795454545454546,1.0,1.0,1.0
1_3_1,50,10.0,sqrt,,,0.75,0.75,0.8576704545454545,1.0,1.0,1.0
1_3_2,50,10.0,sqrt,,,0.4375,0.40669642857142857,0.7161931818181819,1.0,1.0,1.0
1_3_3,50,10.0,sqrt,,,0.6875,0.6729166666666666,0.812215909090909,1.0,1.0,1.0
1_3_4,50,10.0,sqrt,,,0.8125,0.8121527777777778,0.9051136363636363,1.0,1.0,1.0
1_3_5,50,10.0,sqrt,,,0.6875,0.6897321428571428,0.8889204545454545,1.0,1.0,1.0
1_4_1,100,10.0,sqrt,,,0.8125,0.8121527777777778,0.8721590909090909,1.0,1.0,1.0
1_4_2,100,10.0,sqrt,,,0.5625,0.5517676767676767,0.734090909090909,1.0,1.0,1.0
1_4_3,100,10.0,sqrt,,,0.625,0.63125,0.7835227272727273,1.0,1.0,1.0
1_4_4,100,10.0,sqrt,,,0.75,0.7550505050505051,0.9306818181818182,1.0,1.0,1.0
1_4_5,100,10.0,sqrt,,,0.625,0.6168831168831168,0.8798295454545454,1.0,1.0,1.0
2_1_1,50,,sqrt,,,0.75,0.7501092657342658,0.8096590909090908,1.0,1.0,1.0
2_1_2,50,,sqrt,,,0.6875,0.6543560606060607,0.8860795454545454,1.0,1.0,1.0
2_1_3,50,,sqrt,,,0.75,0.753968253968254,0.7906249999999999,1.0,1.0,1.0
2_1_4,50,,sqrt,,,0.625,0.6150793650793651,0.840625,1.0,1.0,1.0
2_1_5,50,,sqrt,,,0.6875,0.6923076923076923,0.775284090909091,1.0,1.0,1.0
2_2_1,100,,sqrt,,,0.8125,0.8175505050505051,0.819034090909091,1.0,1.0,1.0
2_2_2,100,,sqrt,,,0.6875,0.6551573426573427,0.8619318181818181,1.0,1.0,1.0
2_2_3,100,,sqrt,,,0.6875,0.6927083333333333,0.7784090909090909,1.0,1.0,1.0
2_2_4,100,,sqrt,,,0.6875,0.6842948717948718,0.8994318181818182,1.0,1.0,1.0
2_2_5,100,,sqrt,,,0.625,0.63125,0.7372159090909091,1.0,1.0,1.0
2_3_1,50,10.0,sqrt,,,0.75,0.7501092657342658,0.8096590909090908,1.0,1.0,1.0
2_3_2,50,10.0,sqrt,,,0.6875,0.6543560606060607,0.8892045454545454,1.0,1.0,1.0
2_3_3,50,10.0,sqrt,,,0.75,0.753968253968254,0.7960227272727274,1.0,1.0,1.0
2_3_4,50,10.0,sqrt,,,0.625,0.6150793650793651,0.840625,1.0,1.0,1.0
2_3_5,50,10.0,sqrt,,,0.6875,0.6923076923076923,0.775284090909091,1.0,1.0,1.0
2_4_1,100,10.0,sqrt,,,0.8125,0.8175505050505051,0.8159090909090909,1.0,1.0,1.0
2_4_2,100,10.0,sqrt,,,0.6875,0.6551573426573427,0.8650568181818181,1.0,1.0,1.0
2_4_3,100,10.0,sqrt,,,0.75,0.753968253968254,0.7784090909090908,1.0,1.0,1.0
2_4_4,100,10.0,sqrt,,,0.6875,0.6842948717948718,0.9051136363636364,1.0,1.0,1.0
2_4_5,100,10.0,sqrt,,,0.625,0.63125,0.7372159090909091,1.0,1.0,1.0
3_1_1,50,,sqrt,,,0.6875,0.6875,0.8934659090909091,1.0,1.0,1.0
3_1_2,50,,sqrt,,,0.6875,0.6732954545454546,0.8133522727272726,1.0,1.0,1.0
3_1_3,50,,sqrt,,,0.6875,0.6875,0.8852272727272728,1.0,1.0,1.0
3_1_4,50,,sqrt,,,0.6875,0.6950854700854701,0.9025568181818182,1.0,1.0,1.0
3_1_5,50,,sqrt,,,0.625,0.6212121212121211,0.7136363636363636,1.0,1.0,1.0
3_2_1,100,,sqrt,,,0.75,0.7363636363636363,0.9133522727272727,1.0,1.0,1.0
3_2_2,100,,sqrt,,,0.6875,0.6793050699300699,0.7994318181818181,1.0,1.0,1.0
3_2_3,100,,sqrt,,,0.625,0.6227272727272727,0.8448863636363636,1.0,1.0,1.0
3_2_4,100,,sqrt,,,0.75,0.7537393162393162,0.9105113636363636,1.0,1.0,1.0
3_2_5,100,,sqrt,,,0.5625,0.5506410256410257,0.7051136363636363,1.0,1.0,1.0
3_3_1,50,10.0,sqrt,,,0.6875,0.6875,0.8991477272727273,1.0,1.0,1.0
3_3_2,50,10.0,sqrt,,,0.6875,0.6732954545454546,0.8133522727272726,1.0,1.0,1.0
3_3_3,50,10.0,sqrt,,,0.6875,0.6875,0.8852272727272728,1.0,1.0,1.0
3_3_4,50,10.0,sqrt,,,0.6875,0.6950854700854701,0.9025568181818182,1.0,1.0,1.0
3_3_5,50,10.0,sqrt,,,0.625,0.6212121212121211,0.7136363636363636,1.0,1.0,1.0
3_4_1,100,10.0,sqrt,,,0.8125,0.8068181818181818,0.9193181818181818,1.0,1.0,1.0
3_4_2,100,10.0,sqrt,,,0.6875,0.6793050699300699,0.7994318181818181,1.0,1.0,1.0
3_4_3,100,10.0,sqrt,,,0.625,0.6227272727272727,0.8448863636363636,1.0,1.0,1.0
3_4_4,100,10.0,sqrt,,,0.75,0.7537393162393162,0.9105113636363636,1.0,1.0,1.0
3_4_5,100,10.0,sqrt,,,0.5625,0.5506410256410257,0.7022727272727273,1.0,1.0,1.0
4_1_1,50,,sqrt,,,0.75,0.7427083333333333,0.8863636363636364,1.0,1.0,1.0
4_1_2,50,,sqrt,,,0.6875,0.6825892857142857,0.8599431818181817,1.0,1.0,1.0
4_1_3,50,,sqrt,,,0.625,0.6038510101010102,0.7636363636363636,1.0,1.0,1.0
4_1_4,50,,sqrt,,,0.6875,0.6745129870129869,0.946590909090909,1.0,1.0,1.0
4_1_5,50,,sqrt,,,0.6875,0.6897321428571428,0.7667613636363637,1.0,1.0,1.0
4_2_1,100,,sqrt,,,0.75,0.7575757575757576,0.8747159090909091,1.0,1.0,1.0
4_2_2,100,,sqrt,,,0.6875,0.6737179487179488,0.8238636363636364,1.0,1.0,1.0
4_2_3,100,,sqrt,,,0.625,0.5929851398601398,0.7491477272727272,1.0,1.0,1.0
4_2_4,100,,sqrt,,,0.75,0.7467948717948718,0.9139204545454547,1.0,1.0,1.0
4_2_5,100,,sqrt,,,0.625,0.6355987762237763,0.784375,1.0,1.0,1.0
4_3_1,50,10.0,sqrt,,,0.75,0.7427083333333333,0.8863636363636365,1.0,1.0,1.0
4_3_2,50,10.0,sqrt,,,0.6875,0.6825892857142857,0.8630681818181818,1.0,1.0,1.0
4_3_3,50,10.0,sqrt,,,0.625,0.6038510101010102,0.7636363636363636,1.0,1.0,1.0
4_3_4,50,10.0,sqrt,,,0.6875,0.6745129870129869,0.9247159090909091,1.0,1.0,1.0
4_3_5,50,10.0,sqrt,,,0.6875,0.6897321428571428,0.7667613636363637,1.0,1.0,1.0
4_4_1,100,10.0,sqrt,,,0.75,0.7575757575757576,0.8747159090909091,1.0,1.0,1.0
4_4_2,100,10.0,sqrt,,,0.6875,0.6737179487179488,0.8238636363636364,1.0,1.0,1.0
4_4_3,100,10.0,sqrt,,,0.625,0.5929851398601398,0.7491477272727272,1.0,1.0,1.0
4_4_4,100,10.0,sqrt,,,0.6875,0.6856060606060606,0.9082386363636363,1.0,1.0,1.0
4_4_5,100,10.0,sqrt,,,0.625,0.6355987762237763,0.7875000000000001,1.0,1.0,1.0
5_1_1,50,,sqrt,,,0.5625,0.5405844155844155,0.7602272727272726,1.0,1.0,1.0
5_1_2,50,,sqrt,,,0.625,0.6196581196581197,0.6994318181818182,1.0,1.0,1.0
5_1_3,50,,sqrt,,,0.5,0.509469696969697,0.8119318181818181,1.0,1.0,1.0
5_1_4,50,,sqrt,,,0.625,0.6145833333333333,0.7784090909090908,1.0,1.0,1.0
5_1_5,50,,sqrt,,,0.5,0.47630494505494503,0.7673295454545456,1.0,1.0,1.0
5_2_1,100,,sqrt,,,0.6875,0.6693618881118881,0.7840909090909091,1.0,1.0,1.0
5_2_2,100,,sqrt,,,0.625,0.6232638888888888,0.6724431818181819,1.0,1.0,1.0
5_2_3,100,,sqrt,,,0.625,0.625,0.8454545454545456,1.0,1.0,1.0
5_2_4,100,,sqrt,,,0.75,0.7288024475524475,0.7752840909090909,1.0,1.0,1.0
5_2_5,100,,sqrt,,,0.625,0.6168831168831168,0.7948863636363636,1.0,1.0,1.0
5_3_1,50,10.0,sqrt,,,0.5625,0.543159965034965,0.7715909090909092,1.0,1.0,1.0
5_3_2,50,10.0,sqrt,,,0.625,0.6196581196581197,0.6994318181818182,1.0,1.0,1.0
5_3_3,50,10.0,sqrt,,,0.5,0.509469696969697,0.8119318181818181,1.0,1.0,1.0
5_3_4,50,10.0,sqrt,,,0.625,0.6145833333333333,0.7784090909090908,1.0,1.0,1.0
5_3_5,50,10.0,sqrt,,,0.5,0.47630494505494503,0.7585227272727273,1.0,1.0,1.0
5_4_1,100,10.0,sqrt,,,0.6875,0.6693618881118881,0.7840909090909091,1.0,1.0,1.0
5_4_2,100,10.0,sqrt,,,0.625,0.6232638888888888,0.6724431818181819,1.0,1.0,1.0
5_4_3,100,10.0,sqrt,,,0.625,0.625,0.8454545454545456,1.0,1.0,1.0
5_4_4,100,10.0,sqrt,,,0.6875,0.6741071428571428,0.772159090909091,1.0,1.0,1.0
5_4_5,100,10.0,sqrt,,,0.625,0.6168831168831168,0.7948863636363637,1.0,1.0,1.0
